analist, pattern_name, step, vector, distance, metric, size, traj_size, path_size
1, v3e2, 1, 0.15625, 1.28125, 0.2001953125, 643, 64, 32
1, v3e3, 1, 0.06451612903225806, 0.9354838709677419, 0.06035379812695109, 639, 62, 31
1, vh2e1, 1, 0.7222222222222222, 1.1111111111111112, 0.8024691358024691, 266, 36, 18
1, vh2e2, 1, 0.4827586206896552, 1.2758620689655173, 0.6159334126040429, 361, 57, 28
1, vh2e3, 1, 0.4482758620689655, 0.9655172413793104, 0.43281807372175984, 482, 56, 27
-1, v2, 3, 0.09090909090909091, 1.292929292929293, 0.11753902662993573, 750, 66, 33
-1, h2, 3, 0.2571428571428572, 1.7714285714285716, 0.45551020408163273, 735, 68, 33
-1, d21, 3, 0.2604166666666667, 1.96875, 0.5126953125, 644, 64, 32
-1, d22, 3, 0.375, 1.8541666666666667, 0.6953125, 691, 64, 32
-1, e31, 3, 0.08641975308641979, 1.765432098765432, 0.15256820606614852, 432, 54, 27
-1, e32, 3, 3.828355257328126e-18, 1.7471264367816093, 6.6886206794698295e-18, 443, 58, 29
-1, e33, 3, 0.16091954022988506, 1.8390804597701147, 0.2959439820319725, 421, 58, 29
-1, e34, 3, 0.16666666666666666, 1.7916666666666667, 0.2986111111111111, 455, 64, 32
-1, h3, 3, 0.1827956989247312, 1.9462365591397848, 0.3557636721008209, 393, 62, 31
-1, v3, 3, 0.10416666666666667, 1.3854166666666665, 0.1443142361111111, 505, 64, 32
-1, d31, 3, 0.18518518518518523, 2.0000000000000004, 0.3703703703703705, 213, 36, 18
-1, d32, 3, 0.3412698412698413, 1.9365079365079363, 0.6608717561098513, 270, 42, 21
-1, h3e1, 3, 0.3103448275862069, 1.7471264367816093, 0.5422116527942925, 518, 58, 29
-1, h3e2, 3, 0.3222222222222222, 1.8444444444444443, 0.5943209876543208, 502, 59, 29
-1, h3e3, 3, 0.3010752688172043, 1.9784946236559138, 0.5956758006705977, 478, 57, 26
-1, v3e1, 3, 0.1182795698924731, 1.3333333333333337, 0.15770609318996417, 646, 62, 31
-1, v3e2, 3, 0.26041666666666663, 1.8958333333333335, 0.4937065972222222, 643, 64, 32
-1, v3e3, 3, 0.05376344086021506, 1.9569892473118278, 0.10521447566192624, 639, 62, 31
-1, vh2e1, 3, 0.20370370370370366, 1.351851851851852, 0.27537722908093276, 266, 36, 18
-1, vh2e2, 3, 0.08045977011494253, 1.8160919540229887, 0.14612234112828645, 361, 57, 28
-1, vh2e3, 3, 0.028735632183908053, 1.931034482758621, 0.05548949663099487, 482, 56, 27
1, v2, 3, 0.34343434343434337, 1.2525252525252526, 0.4301601877359453, 750, 66, 33
1, h2, 3, 0.27619047619047615, 1.342857142857143, 0.3708843537414966, 735, 68, 33
1, d21, 3, 0.40624999999999994, 1.3020833333333335, 0.5289713541666666, 644, 64, 32
1, d22, 3, 0.5520833333333333, 1.375, 0.7591145833333333, 691, 64, 32
1, e31, 3, 0.23456790123456792, 1.5123456790123457, 0.35474775186709345, 432, 54, 27
1, e32, 3, 0.3793103448275862, 1.4482758620689655, 0.549346016646849, 443, 58, 29
1, e33, 3, 0.2873563218390805, 1.517241379310345, 0.4359889021006739, 421, 58, 29
1, e34, 3, 0.3645833333333333, 1.4791666666666665, 0.5392795138888888, 455, 64, 32
1, h3, 3, 0.37634408602150543, 1.6774193548387095, 0.6312868539715575, 393, 62, 31
1, v3, 3, 0.203125, 1.2864583333333333, 0.2613118489583333, 505, 64, 32
1, d31, 3, 0.6851851851851851, 1.9351851851851853, 1.3259602194787379, 213, 36, 18
1, d32, 3, 0.373015873015873, 1.3650793650793651, 0.509196271101033, 270, 42, 21
1, h3e1, 3, 0.5977011494252874, 1.6321839080459768, 0.975558197912538, 518, 58, 29
1, h3e2, 3, 0.4222222222222222, 1.661111111111111, 0.701358024691358, 502, 59, 29
1, h3e3, 3, 0.6774193548387095, 1.6989247311827955, 1.1508844953173774, 478, 57, 26
1, v3e1, 3, 0.15053763440860216, 1.3225806451612905, 0.19909816163718352, 646, 62, 31
1, v3e2, 3, 0.3020833333333333, 1.6041666666666667, 0.4845920138888889, 643, 64, 32
1, v3e3, 3, 0.03763440860215054, 1.241935483870968, 0.04673950745750955, 639, 62, 31
1, vh2e1, 3, 0.48148148148148145, 1.1111111111111112, 0.5349794238683128, 266, 36, 18
1, vh2e2, 3, 0.47126436781609193, 1.3333333333333335, 0.628352490421456, 361, 57, 28
1, vh2e3, 3, 0.4080459770114942, 1.1896551724137931, 0.4854340071343638, 482, 56, 27
-1, v2, 5, 0.1272727272727273, 1.484848484848485, 0.18898071625344356, 750, 66, 33
-1, h2, 5, 0.2142857142857143, 1.7614285714285716, 0.3774489795918368, 735, 68, 33
-1, d21, 5, 0.11249999999999999, 1.8812499999999999, 0.21164062499999997, 644, 64, 32
